"group_1","group_2","interaction_severity","possible_symptoms","interaction_risk"
"HIV protease inhibitors","Opioid analgesics","High","somnolence, shallow breathing","Variable but potentially dangerous opioid level changes"
"DPP-4 inhibitors","Sulfonylureas","High","sweating, tremor, confusion, hypoglycemia","Additive glucose lowering may cause severe hypoglycemia"
"Insulins","Sulfonylureas","High","shakiness, hunger, confusion, seizures","Severe hypoglycemia from additive insulin effect"
"Insulins","Meglitinides","High","diaphoresis, tremor, syncope","Marked hypoglycemia risk"
"GLP-1 receptor agonists","Insulins","High","low blood sugar symptoms, nausea, dizziness","Increased hypoglycemia risk especially with dose mismatch"
"SGLT2 inhibitors","Loop diuretics","High","dehydration, dizziness, hypotension","Volume depletion and renal impairment risk"
"Systemic corticosteroids","Insulins","High","polyuria, polydipsia, hyperglycemia","Steroid-induced hyperglycemia may destabilize diabetes control"
"Systemic corticosteroids","NSAIDs","High","epigastric pain, GI bleeding","Substantial peptic ulcer and GI bleed risk"
"NSAIDs","Loop diuretics","High","edema, reduced urine, blood pressure rise","Blunts diuretic effect and increases kidney injury risk"
"NSAIDs","Thiazide and thiazide-like diuretics","High","fluid retention, hypertension, renal dysfunction","Reduced natriuretic response and nephrotoxicity"
"Anticonvulsants and mood stabilizers","Hormonal contraceptives","High","breakthrough bleeding, unintended pregnancy","Enzyme induction reduces contraceptive efficacy"
"Carbapenems","Anticonvulsants and mood stabilizers","High","breakthrough seizures, mood destabilization","Carbapenems can sharply lower valproate concentrations"
"Azole antifungals","Benzodiazepines","High","excess sedation, psychomotor impairment","CYP inhibition raises benzodiazepine exposure"
"Proton pump inhibitors","Antiplatelets","High","new chest pain, thrombotic event symptoms","Some PPIs may reduce clopidogrel activation"
"Thyroid medications","Calcium channel blockers","High","arrhythmia, palpitations, blood pressure instability","Cardiac sensitivity changes can complicate rate control"
"Beta blockers","Insulins","High","masked hypoglycemia, dizziness, confusion","Beta blockade can hide adrenergic warning signs of hypoglycemia"
"Beta blockers","Sulfonylureas","High","silent hypoglycemia, sweating, confusion","Masking and prolongation of hypoglycemic episodes"
"H2 receptor blockers","Tricyclic antidepressants","High","confusion, anticholinergic toxicity, arrhythmia","Metabolic inhibition can increase TCA concentrations"
"Opioid analgesics","First-generation antihistamines","High","sedation, slowed breathing, falls","Marked additive respiratory and CNS depression"
"Typical antipsychotics","Tricyclic antidepressants","High","arrhythmia, confusion, severe anticholinergic effects","Additive QT and anticholinergic toxicity"
"warfarin","ibuprofen","High","easy bruising, black stools, nosebleeds","Major bleeding risk from anticoagulant plus NSAID effect"
"warfarin","naproxen","High","melena, fatigue, prolonged bleeding","Marked increase in gastrointestinal and systemic bleeding risk"
"warfarin","diclofenac","High","abdominal pain, blood in stool, weakness","Additive bleeding risk and GI mucosal injury"
"warfarin","ketorolac","High","hematemesis, dizziness, hypotension","Very high bleeding risk, especially gastrointestinal"
"warfarin","fluconazole","High","INR elevation symptoms, bruising, bleeding","CYP inhibition can increase warfarin exposure"
"warfarin","itraconazole","High","nosebleeds, dark stools, weakness","Metabolic inhibition may strongly raise anticoagulant effect"
"warfarin","clarithromycin","High","bleeding gums, bruising, fatigue","Potential INR increase due to metabolic interaction"
"warfarin","erythromycin","High","easy bruising, prolonged bleeding","Macrolide interaction can increase anticoagulation"
"warfarin","ciprofloxacin","High","hematuria, bruising, lightheadedness","Potential potentiation of warfarin anticoagulant effect"
"warfarin","levofloxacin","High","dark stools, pallor, dizziness","Possible increase in INR and bleeding events"
"warfarin","sertraline","High","bruising, GI bleeding, weakness","SSRI platelet effects can increase bleeding risk"
"warfarin","fluoxetine","High","bleeding, fatigue, melena","Combined anticoagulation and platelet dysfunction risk"
"warfarin","paroxetine","High","epistaxis, bruising, dark stools","Higher hemorrhage potential from additive effects"
"warfarin","duloxetine","High","bruising, weakness, GI bleed signs","SNRI-associated platelet dysfunction may increase bleeding"
"warfarin","venlafaxine","High","prolonged bleeding, dizziness, pallor","Additive bleeding liability with anticoagulants"
"apixaban","ibuprofen","High","bruising, black stools, dizziness","Major bleeding risk due to combined anticoagulant and NSAID effects"
"apixaban","naproxen","High","abdominal bleeding signs, fatigue","Substantial increase in gastrointestinal bleeding risk"
"apixaban","diclofenac","High","melena, weakness, prolonged bleeding","Additive effects on bleeding tendency"
"apixaban","ketorolac","High","hematemesis, hypotension, pallor","Very high hemorrhage risk with this combination"
"apixaban","fluconazole","High","bleeding, dizziness, weakness","Azole inhibition may increase apixaban levels"
"apixaban","clarithromycin","High","bruising, gum bleeding, fatigue","CYP/P-gp inhibition may elevate apixaban exposure"
"apixaban","sertraline","High","easy bruising, nosebleeds, GI bleeding","Additive bleeding effect from platelet inhibition"
"rivaroxaban","ibuprofen","High","black stools, epistaxis, weakness","Marked increase in bleeding risk"
"rivaroxaban","naproxen","High","abdominal pain, melena, dizziness","Additive anticoagulant and NSAID bleeding risk"
"rivaroxaban","fluconazole","High","bruising, prolonged bleeding, fatigue","Increased rivaroxaban exposure possible"
"rivaroxaban","clarithromycin","High","hematuria, bleeding gums, weakness","Metabolic transport interaction may increase bleeding"
"rivaroxaban","paroxetine","High","bruising, GI bleed, lightheadedness","SSRI-related platelet dysfunction increases risk"
"dabigatran","ibuprofen","High","easy bruising, dark stools, dizziness","High bleeding risk from additive effects"
"dabigatran","naproxen","High","melena, fatigue, prolonged bleeding","Increased GI and systemic bleeding potential"
"dabigatran","sertraline","High","nosebleeds, bruising, weakness","Combined effects can increase bleeding events"
"lisinopril","spironolactone","High","muscle weakness, palpitations, nausea","Hyperkalemia risk from additive potassium retention"
"lisinopril","eplerenone","High","arrhythmia, weakness, paresthesia","Additive risk for clinically significant hyperkalemia"
"lisinopril","amiloride","High","fatigue, muscle cramps, irregular heartbeat","Potassium elevation risk with dual potassium-sparing effect"
"lisinopril","triamterene","High","weakness, paresthesia, arrhythmia","High risk of elevated serum potassium"
"losartan","spironolactone","High","palpitations, weakness, nausea","Additive hyperkalemia and renal risk"
"valsartan","eplerenone","High","muscle weakness, bradyarrhythmia signs","Potential severe potassium elevation"
"irbesartan","amiloride","High","fatigue, paresthesia, palpitations","Combined RAAS and potassium-sparing effect"
"candesartan","triamterene","High","weakness, confusion, arrhythmia","Hyperkalemia risk with potassium retention"
"ramipril","ibuprofen","High","edema, reduced urine, fatigue","Acute kidney injury risk with hemodynamic effects"
"benazepril","naproxen","High","swelling, rising creatinine symptoms","NSAID may reduce renal perfusion and ACE benefit"
"losartan","diclofenac","High","fluid retention, kidney dysfunction signs","Potential nephrotoxicity and reduced antihypertensive effect"
"valsartan","meloxicam","High","edema, fatigue, reduced urine output","Renal perfusion compromise risk"
"furosemide","ibuprofen","High","edema, shortness of breath, low urine","NSAID may blunt diuresis and worsen kidney function"
"torsemide","naproxen","High","fluid overload, weakness, kidney symptoms","Reduced diuretic response and nephrotoxicity risk"
"bumetanide","diclofenac","High","blood pressure rise, edema, fatigue","Blunted natriuresis and renal adverse effects"
"nitroglycerin","sildenafil","High","severe hypotension, syncope, chest pain","Profound vasodilation can cause life-threatening hypotension"
"nitroglycerin","tadalafil","High","fainting, dizziness, hypotension","Contraindicated due to major blood pressure drop risk"
"nitroglycerin","vardenafil","High","syncope, weakness, blurred vision","Dangerous additive vasodilation"
"nitroglycerin","avanafil","High","severe dizziness, collapse","Potential life-threatening hypotension"
"isosorbide mononitrate","sildenafil","High","syncope, hypotension, chest discomfort","Severe additive vasodilatory effect"
"isosorbide dinitrate","tadalafil","High","fainting, weakness, low blood pressure","Contraindicated combination due to profound hypotension"
"metoprolol","verapamil","High","bradycardia, dizziness, fainting","Additive AV nodal suppression and negative inotropy"
"metoprolol","diltiazem","High","slow pulse, syncope, fatigue","Risk of heart block and hypotension"
"atenolol","verapamil","High","bradyarrhythmia, weakness, hypotension","Additive conduction slowing effect"
"propranolol","diltiazem","High","fainting, dizziness, bradycardia","Increased risk of AV block and low cardiac output"
"carvedilol","verapamil","High","fatigue, slow heartbeat, syncope","Combined chronotropic suppression risk"
"nebivolol","diltiazem","High","dizziness, low pulse, near-syncope","Potential clinically significant bradycardia"
"oxycodone","alprazolam","High","extreme drowsiness, slowed breathing, confusion","Severe CNS and respiratory depression risk"
"hydrocodone","diazepam","High","sedation, shallow breathing, cyanosis","Major overdose and respiratory suppression risk"
"morphine","lorazepam","High","somnolence, respiratory depression, coma signs","Additive CNS depressant effects"
"fentanyl","clonazepam","High","hypoventilation, severe sedation, confusion","Life-threatening respiratory depression possible"
"hydromorphone","temazepam","High","profound sedation, slowed respirations","Additive respiratory and CNS depression"
"methadone","diazepam","High","sedation, hypoventilation, overdose symptoms","High overdose risk with combined depressants"
"buprenorphine","alprazolam","High","somnolence, poor coordination, breathing suppression","Combined CNS depressants increase respiratory risk"
"codeine","diphenhydramine","High","sedation, dizziness, impaired alertness","Additive CNS depression and fall risk"
"tramadol","sertraline","High","agitation, tremor, sweating, confusion","Serotonin syndrome and seizure risk"
"tramadol","fluoxetine","High","restlessness, hyperreflexia, fever","Increased serotonin toxicity risk"
"tramadol","paroxetine","High","clonus, diaphoresis, agitation","Additive serotonergic effect"
"methadone","citalopram","High","palpitations, syncope, dizziness","Additive QT prolongation risk"
"escitalopram","ondansetron","High","palpitations, fainting, lightheadedness","Combined QT-prolonging effects"
"haloperidol","azithromycin","High","syncope, irregular heartbeat","High torsades de pointes risk"
"ziprasidone","levofloxacin","High","dizziness, palpitations, fainting","Additive QT interval prolongation"
"quetiapine","erythromycin","High","sedation, arrhythmia symptoms, syncope","QT and metabolic interaction risk"
"risperidone","ciprofloxacin","High","palpitations, dizziness, near-syncope","Potential additive cardiac repolarization effects"
"amitriptyline","fluoxetine","High","confusion, tremor, arrhythmia","TCA level increase and serotonin toxicity risk"
"clomipramine","paroxetine","High","agitation, anticholinergic toxicity, arrhythmia","Increased TCA exposure via CYP inhibition"
"phenelzine","sertraline","High","fever, rigidity, agitation, diarrhea","Severe serotonin syndrome risk"
"tranylcypromine","venlafaxine","High","hypertension, tremor, hyperthermia","Dangerous serotonergic and adrenergic toxicity"
"isocarboxazid","duloxetine","High","confusion, diaphoresis, hyperreflexia","Major serotonin toxicity risk"
"selegiline","fluoxetine","High","agitation, fever, clonus","Contraindicated serotonergic interaction"
"simvastatin","clarithromycin","High","muscle pain, dark urine, weakness","Strong CYP3A4 inhibition increases statin toxicity"
"simvastatin","erythromycin","High","myalgia, rhabdomyolysis signs","Elevated statin levels from metabolic inhibition"
"lovastatin","itraconazole","High","severe myopathy, weakness, dark urine","High risk of rhabdomyolysis"
"atorvastatin","voriconazole","High","muscle tenderness, CK elevation symptoms","Increased statin exposure and muscle toxicity"
"rosuvastatin","ritonavir","High","myopathy, fatigue, dark urine","Protease inhibitor interaction may increase statin toxicity"
"simvastatin","ritonavir","High","severe muscle toxicity, kidney injury symptoms","Contraindicated due to major statin accumulation"
"lovastatin","darunavir","High","myalgia, weakness, dark urine","Protease inhibitor can markedly elevate statin levels"
"atorvastatin","cobicistat","High","muscle pain, weakness","Booster-mediated CYP inhibition may increase toxicity"
"insulin glargine","glipizide","High","sweating, confusion, tremor","Additive glucose lowering may cause severe hypoglycemia"
"insulin detemir","glyburide","High","hunger, shakiness, dizziness","Combined insulin secretagogue and insulin effect"
"insulin degludec","glimepiride","High","weakness, blurry vision, syncope","High risk for severe low blood glucose"
"insulin lispro","repaglinide","High","palpitations, sweating, confusion","Rapid-onset hypoglycemia risk"
"insulin aspart","nateglinide","High","tremor, diaphoresis, neuroglycopenia","Marked additive hypoglycemic effect"
"empagliflozin","furosemide","High","dehydration, dizziness, hypotension","Additive volume depletion and renal injury risk"
"dapagliflozin","torsemide","High","orthostatic symptoms, thirst, fatigue","Combined diuretic and osmotic fluid loss"
"canagliflozin","bumetanide","High","dehydration, weakness, low blood pressure","Significant intravascular volume contraction risk"
"prednisone","insulin glargine","High","polyuria, polydipsia, hyperglycemia","Steroid-induced insulin resistance worsens glycemic control"
"dexamethasone","metformin","High","high blood sugar symptoms, fatigue","Corticosteroid may reduce antihyperglycemic efficacy"
"prednisolone","ibuprofen","High","epigastric pain, GI bleeding, nausea","Combined GI toxicity and ulceration risk"
"methylprednisolone","naproxen","High","abdominal pain, melena, weakness","Higher risk of peptic ulcer and bleeding"
